table_name,column_name,datatype,description
pwd_policy,max_failed_attempts,integer,The account lockout threshold specifies the amount of times a user can enter an incorrect password before a lockout will occur. Ensure that a lockout threshold is part of the password policy on the computer.
pwd_policy,expires_every_n_days,integer,How many days for a new password to expire.
pwd_policy,days_to_expiration,integer,How many days are left for the expiration of the current password.
pwd_policy,history_depth,integer,This parameter indicates the depth of password history which a new password can't be identical to.
pwd_policy,min_mixed_case_characters,integer,This parameter indicates the minimum number of mixed characters in a password.
lsblk,fullkey,text,"Flattened full key with '/' as separator, e.g. `blockdevices/15/min-io`."
lsblk,parent,text,Parent key when keys are nested in the document.
lsblk,key,text,JSON key or array index.
lsblk,value,text,JSON value
lsblk,query,text,"Specifies a query to flatten with. This is used both for re-writing arrays into maps, and for filtering."
dconf_read,username,text,End user's username.
dconf_read,key,text,Name of the configuration key to read.
dconf_read,value,text,Value of the provided key.
ssh_configs,uid,,
apfs_volumes,container_uuid,text,The UUID of the APFS Contianer
apfs_volumes,container_designated_physical_store,text,"The disk displayed as the backing store of the container. There may be multiple, use `apfs_physical_stores` to see all actual physical stores"
apfs_volumes,container_reference,text,"The current reference for the APFS container, e.g. ""disk3"""
apfs_volumes,container_fusion,text,"Whether this container is on a ""fusion drive"" (i.e. SSHD)"
apfs_volumes,container_capacity_ceiling,bigint,The total amount of space in the container
apfs_volumes,container_capacity_free,bigint,The amount of remaining free space in the container
apfs_volumes,uuid,text,The UUID of the volume
apfs_volumes,device_identifier,text,The current identifier of the volume (e.g. disk3s2)
apfs_volumes,name,text,"The user-selected name of the volume (e.g. ""Macintosh HD"")"
apfs_volumes,role,text,"The first role of the volume. User-created volumes will have no role (this will be empty). System volumes might have roles like ""Data"", ""Hardware"", etc."
apfs_volumes,capacity_in_use,bigint,Storage space used by the volume
apfs_volumes,capacity_quota,bigint,"Storage quota for the volume, or 0 if disabled"
apfs_volumes,capacity_reserve,bigint,"Storage reserved for this volume even if contianer is otherwise full, or 0 if disabled"
apfs_volumes,crypto_migration_on,integer,Whether the volume is in the process of being encrypted
apfs_volumes,encryption,integer,"Whether the volume is encrypted, including without requiring a password"
apfs_volumes,filevault,integer,Whether the volume requires a password to decrypt
apfs_volumes,locked,integer,Whether the volume is unreadable because it does not have a key entered
process_open_sockets,state,,
process_open_sockets,net_namespace,,
process_open_sockets,family,,"Network protocol (IPv4, IPv6). [Learn more](https://students.mimuw.edu.pl/SO/Linux/Kod/include/linux/socket.h.html)"
user_ssh_keys,pid_with_namespace,,
user_ssh_keys,uid,,
routes,hopcount,,
python_packages,pid_with_namespace,,
find_cmd,directory,text,The directory passed to find as first argument.
find_cmd,type,text,Sets the value of the `-type` flag.
find_cmd,perm,text,Sets the value of the `-perm` flag.
find_cmd,path,text,Contains the found paths.
interface_addresses,friendly_name,,
privacy_preferences,network_prediction_enabled,integer,1 if enabled else 0
privacy_preferences,web_rtc_ip_handling_policy,text,"One of ""default"", ""default_public_and_private_interfaces"", ""default_public_interface_only"", or ""disable_non_proxied_udp"" * Available for Chrome 48+"
privacy_preferences,autofill_address_enabled,integer,1 if enabled else 0
privacy_preferences,autofill_credit_card_enabled,integer,1 if enabled else 0 * Available for Chrome 70+
privacy_preferences,autofill_enabled,integer,"1 if enabled else 0 - * Deprecated since Chrome 70, please use privacy.services.autofillAddressEnabled and privacy.services.autofillCreditCardEnabled. This currently remains for backward compatibility and will be removed in the future."
privacy_preferences,save_passwords_enabled,integer,1 if enabled else 0
privacy_preferences,safe_browsing_enabled,integer,1 if enabled else 0
privacy_preferences,safe_browsing_extended_reporting_enabled,integer,1 if enabled else 0
privacy_preferences,search_suggest_enabled,integer,1 if enabled else 0
privacy_preferences,spelling_service_enabled,integer,1 if enabled else 0
privacy_preferences,translation_service_enabled,integer,1 if enabled else 0
privacy_preferences,ad_measurement_enabled,integer,1 if enabled else 0
privacy_preferences,do_not_track_enabled,integer,1 if enabled else 0
privacy_preferences,fledge_enabled,integer,1 if enabled else 0 * Available for Chrome 111+
privacy_preferences,hyperlink_auditing_enabled,integer,1 if enabled else 0
privacy_preferences,privacy_sandbox_enabled,integer,"1 if enabled else 0 - * Available for Chrome 90+ Deprecated since Chrome 111, see https://developer.chrome.com/docs/extensions/reference/privacy/#property-websites-privacySandboxEnabled"
privacy_preferences,protected_content_enabled,integer,1 if enabled else 0 - * Windows and ChromeOS only
privacy_preferences,referrers_enabled,integer,1 if enabled else 0
privacy_preferences,third_party_cookies_allowed,integer,1 if enabled else 0
privacy_preferences,topics_enabled,integer,1 if enabled else 0 * Available for Chrome 111+
icloud_private_relay,status,integer,whether iCloud Private Relay is on or off. 1 is on. 0 is off.
parse_ini,path,text,Path of the file to read.
parse_ini,fullkey,text,Key including any parent keys.
parse_ini,parent,text,Parent key when keys are nested in the document.
parse_ini,key,text,JSON key or array index.
parse_ini,value,text,JSON value
managed_policies,username,,Policy only applies to the listed user. Blank if global.
managed_policies,domain,,System or manager-chosen domain key. Equivalent to a configuration profile's `PayloadType`
suid_bin,pid_with_namespace,,
cis_audit,item,text,"Contains the input CIS item to query. If empty, no CIS item is queried."
cis_audit,value,text,Contains the value for the queried CIS item.
software_update,software_update_required,integer,A value of 0 means no updates are available. Any other integer represents the number of updates available.
